Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-0.17,-0.29,-0.05,-0.38,-0.13,-0.02,-0.81,-0.5,-0.28,-0.14,-0.11,-0.05,0.05,0.67
1881,-0.09,-0.18,-0.01,-0.36,0.11,-0.08,-0.93,-0.49,-0.2,0.11,0.1,-0.06,-0.07,0.6
